name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Sean O'Sullivan,"England",1290.9415235344838,1201.379174436323,1197.1142652713809,1197.1142652713809
Liam Davies,Wales,1238.0401947794967,1255.3402892928236,1446.3378059950808,1651.2089977782057
Ryan Thomerson,"Australia",1018.3551867452211,1013.7286681652956,1108.4474982608206,1108.4474982608206
Alfie Davies,Wales,0.0,1460.9692233052551,1407.281556696077,1453.4498836953194
Julien Leclercq,"Belgium",1499.8140712895795,1528.240333374483,1517.9711747742936,1733.8804123166979
Sydney Wilson,England,0.0,1212.5125864714664,1212.5125864714664,1212.5125864714664
Oliver Brown,"England",1095.6791813790805,1483.6744206251865,1483.6744206251865,1188.9129414713025
Stan Moody,England,1335.1734215305623,1371.69855446353,1925.2167440662138,2128.865615800884
Ashley Carty,England,0.0,1372.2816798204315,1339.8375010069683,1462.2727437575552
Jiang Jun,China,0.0,1761.0510767742906,1705.9349344558966,1975.7435264900832
Zak Sheldon,Northern Ireland,0.0,0.0,0.0,1438.6679669821588
Akani Songsermsawad,Thailand,0.0,0.0,1620.4057897967828,1493.6920123457573
Aidan Murphy (II),England,0.0,0.0,0.0,1441.970628816819
Neil Robertson,"Australia",1921.385322936154,2092.4299911302496,2006.494059375783,2133.4629131009765
Ng On Yee,"Hong Kong",1029.4176040220739,1029.4176040220739,1029.4176040220739,1143.553403066075
Thepchaiya Un-Nooh,"Thailand",1796.6518014890232,1821.323448581041,1604.6401525219655,2121.6850752956198
Elliot Slessor,"England",1834.5255408943258,1889.419783762791,2011.9392359162903,1944.7427621145841
Ahmed Abul,Kuwait,0.0,0.0,1440.6037725141025,1440.6037725141025
Zhao Hanyang,China,0.0,0.0,0.0,1475.1687868229176
Reanne Evans,"England",853.1226816509488,851.0203220001983,945.4545415723684,1033.7102010663648
Jordan Brown,"Northern Ireland",1593.5470216254478,1539.3244801837072,1416.1044050884766,1440.091779653962
Haitham Al Mahri,Oman,0.0,0.0,1412.1447472616578,1412.1447472616578
Abdulraouf Sayegh,Saudi Arabia,0.0,0.0,1450.4801716162228,1450.4801716162228
Stuart Bingham,"England",1834.9601516116456,2177.6934388260647,1809.5172439590297,1931.9510042542665
Billy Joe Castle,England,1279.034714311207,1279.034714311207,1279.034714311207,1279.034714311207
Brian Cini,Malta,0.0,0.0,1422.0798762620734,1381.6485647853606
Jimmy White,"England",1482.727834788262,1187.6827907515467,1134.6906401266017,1359.4398862243265
Mostafa Dorgham,Egypt,0.0,1296.8327290722982,1150.6092690773514,1089.8534302829491
James Cahill,"England",1438.6955605326555,1321.2247923439747,1321.2247923439747,1284.84140686697
Andres Petrov,"Estonia",1221.8366017602982,1300.9004493863806,1212.5897093561603,1212.5897093561603
Daniel Holoyda,Poland,0.0,1367.0325197193215,1367.0325197193215,1367.0325197193215
Martin Gould,"England",1518.5524471067142,1518.5019842855913,1518.5019842855913,1518.5019842855913
Vladislav Gradinari,Moldova,1483.4609546823197,1351.583998795086,1312.640573140335,1137.5736392696656
John Higgins,"Scotland",2295.9785737834636,2007.9366490331295,2190.598221684171,2152.8266968093
Ellise Scott,England,0.0,0.0,0.0,1481.6259347604
Michael Georgiou,Cyprus,1441.1602886306794,1441.1602886306794,1441.1602886306794,1441.1602886306794
Dong Zihao,China,0.0,1455.6806171680719,1455.6806171680719,1455.6806171680719
Hesham Shawky,Egypt,0.0,0.0,0.0,1475.6684261982216
Himanshu Jain,"India",835.0231693419983,991.3140183638229,991.3140183638229,991.3140183638229
Lan Yuhao,China,0.0,1453.1704470175782,1453.1704470175782,1617.8498688081531
Sophie Nix,Scotland,0.0,0.0,1488.2892003992793,1488.2892003992793
Fahad Alghamdi,Saudi Arabia,0.0,0.0,0.0,1430.6130009358558
Peifan Lei,"China",1363.2845365494593,1363.2845365494593,2174.114741044002,1751.124982053014
Mink Nutcharut,"Thailand",921.9034713820536,934.2921418674275,950.9138696437763,879.7652388006436
Khalid Kamali,United Arab Emirates,0.0,0.0,1449.221830721417,1449.221830721417
Mark Joyce,"England",1474.3779186776817,1411.7184903945815,1462.3979339209918,1462.3979339209918
Ali Carter,"England",1881.747366486171,1903.5208992447979,1842.4691041995766,2058.323835047957
Si Jiahui,"China",2241.981512936346,1912.4618154974917,1969.5182707674358,1785.32903339722
Igor Figueiredo,Brazil,0.0,0.0,1447.46354028436,1499.9985692973391
Mykhailo Larkov,Ukraine,0.0,0.0,0.0,1387.7839605451045
Sahil Nayyar,India,0.0,0.0,0.0,1277.1903547083248
Liu Yang,China,0.0,0.0,0.0,1491.354992761827
Xu Si,"China",1666.944079769176,1540.51066192335,1675.8972466215564,1981.6780370630502
Josh Mulholland,England,0.0,1403.160258156208,1392.3578515654435,1392.3578515654435
Shaun Liu,Hong Kong,0.0,1485.440444936665,1485.440444936665,1485.440444936665
Liam Highfield,"England",1478.1103092375831,1327.7887850799618,1391.0807429329893,2126.6965183113102
Liu Hongyu,China,0.0,1578.9023931601403,1590.004623794286,1703.8843288006778
Daniel Boyes,England,0.0,0.0,1491.4145691804436,1318.3878313280145
Matthew Selt,"England",1828.9055025120474,1902.447315898611,1887.9551904101324,1722.779415626815
Jack Bradford,Wales,0.0,0.0,0.0,1458.641687382179
Anton Kazakov,"Ukraine",1082.6327867392856,1038.4377641223966,989.4954968341368,1116.3470742433967
Dylan Emery,"Wales",1322.7578010395582,1422.7016860303593,1585.3436701908224,1676.7704338671797
Oliver Briffett-Payne,Wales,1445.802774339945,1318.3304605378214,1280.4929027233563,1250.2259233880677
Peter Lines,"England",1426.0472270828407,1257.2883061593652,1356.5377076363181,1443.8407248196484
Ding Junhui,"China",1948.6212089682563,2149.0707241704,2065.4276732407475,2131.24358102167
Gao Yang,China,1340.4174142414288,1516.0875836398955,1870.2135376817055,1666.3634862699676
Joe Shannon,Ireland,0.0,0.0,1487.1639815854398,1487.1639815854398
Craig Steadman,"England",1267.6357101990943,1394.8343136777937,1341.0055892445223,1302.8283790296962
Xu Yichen,China,0.0,0.0,0.0,1543.1898241470315
Gerard Greene,"Northern Ireland",1328.9758538565102,1328.9758538565102,1256.3400906846919,1256.3400906846919
Oliver Sykes,England,0.0,1436.5163962937852,1515.140201665964,1492.4401690939044
Asif Mukhtar,Pakistan,0.0,0.0,0.0,1414.3064477941284
Sean McAllister,England,0.0,1467.995066815029,1467.995066815029,1467.995066815029
Hatem Yassen,Egypt,0.0,0.0,1131.6473620680076,961.0071907476026
Kaylan Patel,England,0.0,0.0,1449.6085508493472,1427.1180863690975
George Pragnell (II),England,1371.1405640220416,1371.1405640220416,1371.1405640220416,1428.4427237625632
Sanderson Lam,"England",1511.100994167531,1469.1483150351207,1477.418350679281,1371.828061657304
Joshua Thomond,England,0.0,1414.5135780766902,1165.4283515695784,1165.4283515695784
Lyu Haotian,"China",1797.42517194839,1802.292366308608,1593.522510117484,1544.5874953755583
Liam Pullen,England,1421.5286778785066,1493.2312359866137,1294.7423550766885,1977.3665046478077
Abdullah Alshammari,Saudi Arabia,0.0,0.0,0.0,1423.1746798479708
Judd Trump,"England",1945.9113998311327,1967.188015611541,2328.215133473786,2362.2287165440316
Asjad Iqbal,"Pakistan",1218.0099252128862,1195.5485675392074,1195.5485675392074,1195.5485675392074
Artemijs Zizins,Latvia,0.0,0.0,1492.0225312922025,1594.1638688721123
Tian Pengfei,"China",1609.4273574509436,1506.4897246078197,1409.5681184236728,1409.5681184236728
Alexander Ursenbacher,"Switzerland",1389.6456788314274,1571.0132158659744,1496.2219456855582,1423.0303515222854
Wang Yuhang,China,0.0,0.0,1410.2311678011927,1410.2311678011927
Sam Craigie,"England",1597.0536158714092,1729.4207576845831,1729.4207576845831,1750.2493321719114
Daniel Wells,Wales,1603.998842365415,1784.1726151793896,1734.947053701846,1591.5012394224905
Tang Hewen,China,0.0,0.0,0.0,1493.4253900990427
Pang Junxu,"China",1937.4355360251757,1639.5161171092088,1857.527404355305,1862.3005414873003
Xing Zihao,China,0.0,1552.5747416384675,1576.794005944786,1576.794005944786
Fan Zhengyi,"China",1699.804732700067,1677.074604461312,1900.6477298451905,2092.9394340621234
Wang Xinbo,China,0.0,1528.9508520075296,1550.0879782590084,1718.5600928634904
Patrick Whelan,England,0.0,0.0,0.0,1531.6570401173833
Stuart Carrington,"England",1322.123324654212,1581.372740667339,1460.663121911662,1332.6092528856498
Lee Stephens,England,1369.1684138516678,1369.1684138516678,1369.1684138516678,1369.1684138516678
Ross Muir,Scotland,1273.3748392423215,1417.586925484704,1421.6553600540433,1483.359921814353
John Astley,"England",1624.0864943920665,1458.677156597039,1458.677156597039,1470.2081488642766
